abs,rel,p5no,3no,best,avg,break
69.96831377346051,0.4482033370890051,0.194,0.627,-1487.0,-1450.288,0.005199999999999998
70.63295969940351,0.45246092893200396,0.255,0.693,-1487.0,-1450.694,0.006049999999999997
97.02185324441386,0.621503021146129,0.323,0.749,-1487.0,-1454.83,0.0018500000000000007
107.8436791520312,0.6908255219126135,0.241,0.772,-1487.0,-1454.758,0.0015500000000000006
109.50544504140358,0.701470469273913,0.297,0.798,-1487.0,-1456.176,0.0014000000000000006
113.13719634217615,0.7247347579882857,0.29,0.788,-1487.0,-1456.086,0.0009500000000000001
135.92102011206524,0.8706834781243066,0.269,0.647,-1487.0,-1437.956,0.0007000000000000001
141.99831606723222,0.9096134477160068,0.239,0.678,-1487.0,-1440.584,0.0003
165.55364452205646,1.0605042760109769,0.245,0.508,-1487.0,-1407.954,0.00035
170.10560289066845,1.0896632312733228,0.19,0.447,-1487.0,-1399.876,0.00035
183.13938972109264,1.1731551212053435,0.18,0.388,-1487.0,-1389.836,0.0001
194.42694613126562,1.245461000506652,0.139,0.37,-1487.0,-1374.534,0.0002
156.108417728193,1.0,0.266,0.6,-1487.0,-1427.66,0.00044999999999999993
