abs,rel,p5no,3no,best,avg,break
67.4971913175089,0.4547627750141513,0.411,0.696,-1491.0,-1439.652,0.004349999999999997
74.18037994626755,0.4997908028095673,0.341,0.665,-1491.0,-1433.134,0.004299999999999997
77.22095447528707,0.5202766939031658,0.351,0.667,-1491.0,-1432.094,0.0041499999999999974
91.34353061568672,0.6154276444922875,0.216,0.589,-1491.0,-1417.526,0.0034499999999999978
95.07067037145407,0.6405392733632602,0.342,0.578,-1491.0,-1422.454,0.0034499999999999973
109.14397004375611,0.7353582234211369,0.318,0.575,-1491.0,-1418.896,0.0025499999999999993
113.94001970527475,0.7676716398849138,0.197,0.38,-1491.0,-1382.838,0.0030499999999999976
122.13540907390468,0.8228881302136432,0.17,0.391,-1491.0,-1377.864,0.0024999999999999996
123.21932092931692,0.8301909935419746,0.105,0.24,-1491.0,-1345.988,0.0025499999999999993
134.28008077132628,0.9047129364752128,0.089,0.264,-1491.0,-1349.224,0.0024499999999999995
136.11434869469042,0.917071328797415,0.174,0.384,-1491.0,-1380.37,0.001750000000000001
140.90495422578036,0.9493480653962529,0.128,0.331,-1491.0,-1365.53,0.0013500000000000005
148.42285918280916,1.0,0.112,0.264,-1491.0,-1342.886,0.001800000000000001
